
205.216.15.71	a.qualys.com
134.213.133.97	blog.qualys.com
64.39.96.33	qualysapi-int.qualys.com
64.39.96.29	browsercheck.qualys.com
64.39.96.25	64-39-96-25.qualys.com
64.39.96.21	relay07.qualys.com
64.39.96.16	dist01.sjdc01.qualys.com
64.39.96.11	certs-rrs.qualys.com
64.39.96.6	monitoring-rrs.qualys.com
64.39.96.2	qualysguard-rrs.qualys.com
64.39.96.3	qualysapi-rrs.qualys.com
64.39.96.4	qgadmin-rrs.qualys.com
64.39.96.5	distribution-rrs.qualys.com
64.39.96.7	portal-rrs.qualys.com
64.39.96.8	portal-bo-rrs.qualys.com
64.39.96.9	scanservice1-rrs.qualys.com
64.39.96.10	download-rrs.qualys.com
64.39.96.12	qagpublic-rrs.qualys.com
64.39.96.13	lb1.us.qualys.com
64.39.96.14	lb2.us.qualys.com
64.39.96.17	qualysapi.qualys.com
64.39.96.18	scanservice1.qualys.com
64.39.96.22	relay08.qualys.com
64.39.96.31	qualysguard1.qualys.com
64.39.96.32	nochost-int.qualys.com
64.39.96.38	cdn.qualys.com
64.39.96.39	msp3.qualys.com
64.39.96.42	seal.qualys.com
64.39.96.43	download.qualys.com
64.39.96.44	qlogwebrec.qualys.com
64.39.96.47	log1.sc4.qualys.com
64.39.96.48	scanservice1.fs1.apps.qualys.com
64.39.96.49	distribution.fs1.apps.qualys.com
64.39.96.50	monitoring.fs1.apps.qualys.com
64.39.96.51	download.fs1.apps.qualys.com
64.39.96.53	qagpublic.qualys.com
64.39.96.54	web7.us.qualys.com
64.39.96.55	qualysguard.qg1.gov.qualys.com
64.39.96.56	qualysapi.qg1.gov.qualys.com
64.39.96.57	qgadmin.qg1.gov.qualys.com
64.39.96.58	distribution.qg1.gov.qualys.com
64.39.96.59	monitoring.qg1.gov.qualys.com
64.39.96.60	download.qg1.gov.qualys.com
64.39.96.61	certs.qg1.gov.qualys.com
64.39.96.62	qagpublic.qg1.gov.qualys.com
64.39.96.63	scanservice.qg1.gov.qualys.com
64.39.96.64	og-vam2.bo.ubizen.qualys.com
64.39.96.65	scheduler7.sc4.qualys.com
64.39.96.66	qualysguard11.qualys.com
64.39.96.67	qualysguard.qg2.gov.qualys.com
64.39.96.68	qualysapi.qg2.gov.qualys.com
64.39.96.69	qgadmin.qg2.gov.qualys.com
64.39.96.70	distribution.qg2.gov.qualys.com
64.39.96.71	monitoring.qg2.gov.qualys.com
64.39.96.72	download.qg2.gov.qualys.com
64.39.96.73	certs.qg2.gov.qualys.com
64.39.96.74	qagpublic.qg2.gov.qualys.com
64.39.96.75	scanservice.qg2.gov.qualys.com
64.39.96.70	debug2.qualys.com
64.39.96.131	www-test.qualys.com
64.39.96.133	www.qualys.com
64.39.96.134	agent01.ondemand.qualys.com
64.39.96.135	agent02.ondemand.qualys.com
64.39.96.136	og-vam4.ubizen.qualys.com
64.39.96.133	cn.qualys.com
23.204.110.226	community.qualys.com
10.100.1.18	handscanners.corp.qualys.com
10.100.1.21	us01sv-dc01.corp.qualys.com
10.100.1.22	us01sv-dc02.corp.qualys.com
10.100.1.23	us01sv-dc03.corp.qualys.com
10.100.1.28	ntp.corp.qualys.com
10.100.1.29	us01sv-ad01.corp.qualys.com
10.100.1.30	us01sv-sqrl.corp.qualys.com
10.100.1.32	us01sv-splk01.corp.qualys.com
10.100.1.33	us01sv-slng01.corp.qualys.com
10.100.1.37	us01sv-vbp01.corp.qualys.com
10.100.1.38	us01sv-vbr01.corp.qualys.com
10.100.1.39	us01sv-vbup01.corp.qualys.com
10.100.1.41	us01sv-dhcp01.corp.qualys.com
10.100.1.42	us01sv-upd01.corp.qualys.com
10.100.1.43	intranet.qualys.com
10.100.1.45	us01sv-ss01.corp.qualys.com
10.100.1.49	us01sv-ca01.corp.qualys.com
10.100.1.53	us01sv-fs03.corp.qualys.com
10.100.1.54	us01sv-av01.corp.qualys.com
10.100.1.57	us01sv-ps01.corp.qualys.com
10.100.1.59	us01sv-hs01.corp.qualys.com
10.100.1.60	us01sv-smtp03.corp.qualys.com
10.100.1.64	us01sv-fas01.corp.qualys.com
10.100.1.22	corp.qualys.com
10.112.193.23	us03sv-dc03.corp.qualys.com
10.112.193.23	corp.qualys.com
10.112.161.21	us05sv-dc01.corp.qualys.com
10.112.161.22	us05sv-dc02.corp.qualys.com
10.112.161.22	corp.qualys.com
10.113.1.21	in01sv-dc01.corp.qualys.com
10.113.1.22	in01sv-dc02.corp.qualys.com
10.113.1.21	corp.qualys.com
10.112.145.21	fr01sv-dc01.corp.qualys.com
10.112.145.22	fr01sv-dc02.corp.qualys.com
10.112.145.22	corp.qualys.com
10.112.161.21	corp.qualys.com
10.100.1.23	corp.qualys.com
10.117.1.21	uk01sv-dc03.corp.qualys.com
10.117.1.22	uk01sv-dc04.corp.qualys.com
10.117.1.22	corp.qualys.com
10.100.1.21	corp.qualys.com
10.117.1.21	corp.qualys.com
10.112.145.21	corp.qualys.com
10.113.1.22	corp.qualys.com
64.39.96.49	de.qualys.com
64.39.107.10	dns1.qualys.com
64.39.96.159	certs13.qualysguard.qualys.com
64.39.96.160	www5.ivs.ignite.qualys.com
64.39.96.161	dns2.qualys.com
64.39.96.162	freescan.qualys.com
64.39.96.163	freescan-bo.qualys.com
64.39.96.165	dist2.qualys.com
64.39.96.166	rns01.qualys.com
64.39.96.167	rns01-bo.qualys.com
64.39.96.171	dns5.qualys.com
64.39.96.172	vm2.mss.verisign.com.qualys.com
64.39.96.173	vm3.mss.verisign.com.qualys.com
64.39.96.174	vm4.mss.verisign.com.qualys.com
64.39.96.175	vm5.mss.verisign.com.qualys.com
64.39.96.176	vm6.mss.verisign.com.qualys.com
64.39.96.177	vm7.mss.verisign.com.qualys.com
64.39.96.178	vm8.mss.verisign.com.qualys.com
64.39.96.180	certs.qualysguard.qualys.com
64.39.96.181	portal1.qualys.com
64.39.96.182	certs2.qualysguard.qualys.com
64.39.96.183	portal3.qualys.com
64.39.96.185	certs5.qualysguard.qualys.com
64.39.96.186	certs6.qualysguard.qualys.com
64.39.96.187	certs7.qualysguard.qualys.com
64.39.96.188	certs8.qualysguard.qualys.com
64.39.96.191	portal-bo1.qualys.com
64.39.96.192	portal-bo2.qualys.com
64.39.96.193	qagpublic.qg2.apps.qualys.com
64.39.96.194	debug.qg2.apps.qualys.com
64.39.96.195	portal2.qualys.com
64.39.96.197	certs2.qualys.com
64.39.96.198	qlogwebrec.qg2.apps.qualys.com
64.39.96.199	boadm.qg2.apps.qualys.com
64.39.96.200	qualysguard2.qualys.com
64.39.96.201	qualysguard.qg2.apps.qualys.com
64.39.96.202	qualysapi.qg2.apps.qualys.com
64.39.96.203	qgadmin.qg2.apps.qualys.com
64.39.96.205	distribution.qg2.apps.qualys.com
64.39.96.206	monitoring.qg2.apps.qualys.com
64.39.96.207	portal.qg2.apps.qualys.com
64.39.96.208	portal-bo.qg2.apps.qualys.com
64.39.96.209	scanservice1.qg2.apps.qualys.com
64.39.96.210	download.qg2.apps.qualys.com
64.39.96.211	scheduler11.sc4.qualys.com
64.39.96.212	rns.qg2.apps.qualys.com
64.39.96.213	scheduler13.sc4.qualys.com
64.39.96.214	web13.us.qualys.com
64.39.96.216	scheduler15.sc4.qualys.com
64.39.96.217	scheduler16.sc4.qualys.com
64.39.96.218	scheduler14.sc4.qualys.com
64.39.96.221	vss3.verizonbusiness.qualys.com
64.39.96.222	vss4.verizonbusiness.qualys.com
64.39.96.223	vss5.verizonbusiness.qualys.com
64.39.96.224	vss6.verizonbusiness.qualys.com
64.39.96.225	vss7.verizonbusiness.qualys.com
64.39.96.226	vss8.verizonbusiness.qualys.com
64.39.96.227	smtp1.us.qualys.com
64.39.96.228	smtp2.us.qualys.com
64.39.96.200	qg2.qualys.com
64.39.96.197	certs.qg2.apps.qualys.com
64.39.96.181	certs1.qualysguard.qualys.com
64.39.96.151	dns3.qualys.com
64.39.96.152	qualysguard.preview.qualys.com
64.39.96.133	events.qualys.com
64.39.96.49	fr.qualys.com
198.55.192.37	investor.qualys.com
10.60.1.51	corp1.ops.qualys.com
10.60.1.46	transfer-pwc.ops.qualys.com
10.60.1.41	vuln2.ops.qualys.com
10.60.1.36	access2.ops.qualys.com
10.60.1.31	webinspect.ops.qualys.com
10.60.1.26	karma.ops.qualys.com
10.60.1.21	aceadmin.ops.qualys.com
10.60.1.16	www.ops.qualys.com
10.60.1.12	ace2.ops.qualys.com
10.60.1.13	acm1.ops.qualys.com
10.60.1.14	collector.ops.qualys.com
10.60.1.17	rpm.ops.qualys.com
10.60.1.18	distro.ops.qualys.com
10.60.1.19	corpweb.ops.qualys.com
10.60.1.23	rpm2.ops.qualys.com
10.60.1.24	qablade.ops.qualys.com
10.60.1.25	qablade2.ops.qualys.com
10.60.1.27	rpm3.ops.qualys.com
10.60.1.28	rpm4.ops.qualys.com
10.60.1.29	jira01.ops.sfo01.qualys.com
10.60.1.30	rhn4.ops.qualys.com
10.60.1.32	distro2.ops.qualys.com
10.60.1.33	dbbig.ops.qualys.com
10.60.1.34	srs1.ops.qualys.com
10.60.1.35	access3.ops.qualys.com
10.60.1.37	transfer1.ops.qualys.com
10.60.1.38	transfer-oraclevam.ops.qualys.com
10.60.1.39	rpm4-64.ops.qualys.com
10.60.1.40	vulndbprod.ops.qualys.com
10.60.1.42	blade1a.ops.qualys.com
10.60.1.43	blade1b.ops.qualys.com
10.60.1.44	splunk.ops.qualys.com
10.60.1.45	transfer2.ops.qualys.com
10.60.1.47	transfer-ppsa.ops.qualys.com
10.60.1.48	jira02.ops.sfo01.qualys.com
10.60.1.49	dbbuild1.ops.qualys.com
10.60.1.50	nagios.ops.qualys.com
10.60.1.52	ppsablade.ops.qualys.com
10.60.1.53	ca.ops.qualys.com
10.60.1.54	rat1.ops.qualys.com
10.60.1.55	qel4build64.ops.qualys.com
10.60.1.56	wiki.ops.qualys.com
10.60.1.58	consolelab.ops.qualys.com
10.60.1.59	consoleatc.ops.qualys.com
10.60.1.60	pwc-serverroom.iscan.ops.qualys.com
10.60.1.61	prod-serverroom.iscan.ops.qualys.com
10.60.1.62	comsec-serverroom.iscan.ops.qualys.com
10.60.1.63	prestaging4.ops.qualys.com
10.60.1.64	rt.ops.qualys.com
10.60.1.65	log01.ops.qualys.com
10.60.1.68	hm01.ops.qualys.com
10.60.1.70	gdb01.ops.sfo01.qualys.com
10.60.1.72	dbbuild2.ops.qualys.com
10.60.1.73	transfer-preview.ops.qualys.com
10.60.1.74	dashboard.ops.qualys.com
10.60.1.75	customerbuild.ops.qualys.com
10.60.1.77	staging-login.ops.qualys.com
10.60.1.78	production-login.ops.qualys.com
10.60.1.79	wiki.tam.qualys.com
10.60.1.81	dbtest2.ops.qualys.com
10.60.1.82	dbtest3.ops.qualys.com
10.60.1.83	dbtest4.ops.qualys.com
10.60.1.84	dbaqwebtest.ops.qualys.com
10.60.1.37	transfer-shared.ops.qualys.com
10.60.1.37	transfer-gva.ops.qualys.com
10.60.1.56	it.qualys.com
127.0.0.1	localhost.qualys.com
64.39.108.24	mail.qualys.com
64.39.96.133	news.qualys.com
10.0.100.10	us01sv-bas01.corp.qualys.com
10.0.100.11	us01sv-bas02.corp.qualys.com
10.0.100.12	bas3.us01.qualys.com
10.0.100.13	us01sv-duo01.corp.qualys.com
10.0.100.10	ntp.qualys.com
64.39.96.107	tc01.us.qualys.com
64.39.96.102	qualysapi8.us.qualys.com
64.39.96.97	qualysguard13.qualys.com
64.39.96.92	api6.us.qualys.com
64.39.96.90	api5.us.qualys.com
64.39.96.91	qualysapi5.us.qualys.com
